date,code,open,close,high,low,volume,amount,amplitude,pct_change,price_change,turnover_rate,RSI,MACD,MACD_signal,MACD_hist,MA20,MA50,BB_upper,BB_lower,BB_middle
2015-08-10,000021,11.02,11.82,11.96,10.93,588125,728413856.0,9.55,9.55,1.03,4.0,50.03674299466486,-0.6874643181247375,-0.8430509130829356,0.15558659495819804,10.7245,13.361600000000001,12.909425399184151,8.53957460081585,10.7245
2015-08-11,000021,11.81,11.72,12.06,11.45,631948,799530176.0,5.16,-0.85,-0.1,4.3,49.563929131643015,-0.5856388456858586,-0.7915684996035202,0.2059296539176616,10.7365,13.3524,12.940444418536915,8.532555581463084,10.7365
2015-08-12,000021,11.57,11.9,12.39,11.42,653246,842979200.0,8.28,1.54,0.18,4.44,50.4711573238839,-0.4848281325706605,-0.7302204261969483,0.24539229362628778,10.819500000000001,13.3532,13.067000611790803,8.5719993882092,10.819500000000001
2015-08-13,000021,11.68,12.21,12.27,11.62,577990,743119344.0,5.46,2.61,0.31,3.93,52.070181206863886,-0.37559092847675046,-0.6592945266529088,0.2837035981761583,10.9735,13.373600000000001,13.158039081820242,8.788960918179757,10.9735
2015-08-14,000021,12.22,12.51,12.78,12.22,677651,908234992.0,4.59,2.46,0.3,4.61,53.63036128013899,-0.2617943619817886,-0.5797944937186847,0.3180001317368961,11.192499999999999,13.381200000000002,13.045992649027783,9.339007350972215,11.192499999999999
2015-08-17,000021,12.52,12.79,13.09,12.29,567685,774311712.0,6.39,2.24,0.28,3.86,55.09943046625407,-0.14731791402155459,-0.49329917777925875,0.34598126375770416,11.3805,13.382,13.074365106789804,9.686634893210195,11.3805
2015-08-18,000021,12.94,11.42,13.1,11.42,702976,919198224.0,13.14,-10.71,-1.37,4.78,47.21709334857043,-0.1652373019271085,-0.42768680260882874,0.26244950068172024,11.450500000000002,13.3476,13.025206004306849,9.875793995693154,11.450500000000002
2015-08-19,000021,10.88,11.64,11.81,10.25,544234,647539200.0,13.66,1.93,0.22,3.7,48.49140139836684,-0.15984380468015402,-0.37411820302309384,0.21427439834293982,11.477,13.309800000000001,13.045720497730567,9.908279502269433,11.477
2015-08-20,000021,11.32,11.28,12.22,11.03,485518,605495936.0,10.22,-3.09,-0.36,3.3,46.51253865699164,-0.18251449709715395,-0.3357974618379059,0.15328296474075193,11.4255,13.2698,12.9484113565799,9.9025886434201,11.4255
2015-08-21,000021,11.0,10.25,11.24,10.23,375887,435784240.0,8.95,-9.13,-1.03,2.56,41.31733427831181,-0.2803617404768879,-0.3247103175657023,0.0443485770888144,11.306999999999999,13.2138,12.80836071615053,9.805639283849468,11.306999999999999
